 0.324 -0.405 -0.724 -0.603 -0.325  0.003  0.056 -0.131 -0.036 -0.275 -0.579 -0.365 
-0.986 -1.127 -0.904 -0.659 -0.052  0.088 -0.112 -0.141 -0.339 -0.511 -0.743 -0.471 
-0.123 -0.233 -0.565 -0.310 -0.511 -0.046  0.051 -0.062 -0.275 -0.413 -0.811 -1.056 
-0.242 -0.041 -0.440 -0.481 -0.462  0.030  0.061  0.034 -0.103 -0.289 -0.135  0.334 
 0.078  0.389  0.560  0.370  0.005  0.266  0.089  0.158  0.097  0.018 -0.065 -0.417 
-0.129 -0.140 -0.074 -0.196 -0.110 -0.126 -0.082 -0.285 -0.223 -0.100 -0.677 -0.752 
 0.164 -0.326 -0.373 -0.179 -0.144 -0.183 -0.159 -0.081 -0.188 -0.459 -0.830 -0.421 
-0.665 -0.387 -0.380 -0.222  0.054 -0.142  0.072 -0.013 -0.177 -0.395 -0.619 -0.148 
 0.203 -0.014  0.035 -0.340 -0.327 -0.303 -0.166 -0.117 -0.216 -0.423 -0.581 -0.584 
-0.711 -0.605 -0.638 -0.421 -0.303  0.012 -0.076 -0.204 -0.298 -0.390 -0.361 -0.218 
-0.399 -0.316 -0.533 -0.661 -0.346 -0.265 -0.188 -0.323 -0.319 -0.259 -0.697 -0.420 
-0.746 -0.528 -0.384 -0.410 -0.437 -0.387 -0.087 -0.320 -0.227 -0.334 -0.366 -0.053 
-0.534 -0.668 -0.499 -0.130  0.056 -0.107  0.016 -0.122 -0.173 -0.333 -0.436 -0.133 
-0.564 -0.441 -0.375 -0.412 -0.050 -0.168 -0.013 -0.221 -0.101 -0.465 -0.252 -0.258 
-0.734 -0.567 -0.674 -0.118 -0.239 -0.050 -0.101 -0.210 -0.090 -0.011 -0.275 -0.208 
-0.274 -0.188 -0.144  0.053  0.045  0.075 -0.059 -0.140 -0.255 -0.252 -0.552 -0.071 
-0.234 -0.285 -0.356 -0.201 -0.392 -0.328 -0.290 -0.338 -0.354 -0.418 -0.630 -0.476 
-0.699 -0.701 -0.474 -0.374 -0.166 -0.156 -0.081 -0.139 -0.017 -0.368 -0.715  0.081 
-0.569 -0.068 -0.632 -0.521 -0.360 -0.180 -0.287 -0.238 -0.092 -0.359 -0.781 -0.977 
-1.563 -1.129 -0.503 -0.499 -0.554 -0.195 -0.094 -0.243 -0.224 -0.151 -0.359 -0.291 
-0.578 -0.305 -0.312 -0.385 -0.281 -0.392 -0.215 -0.238 -0.400 -0.345 -0.549 -0.452 
-0.770 -1.038 -0.574 -0.325 -0.304 -0.286 -0.256 -0.271 -0.032 -0.165 -0.251 -0.273 
-0.275 -0.217 -0.619 -0.522  0.008  0.038 -0.049 -0.049 -0.049 -0.019 -0.539 -0.181 
-0.401 -0.240 -0.584 -0.117  0.091 -0.077  0.047 -0.018  0.083 -0.097 -0.521 -0.541 
 0.117 -0.392 -1.038 -0.437 -0.276 -0.119 -0.066 -0.063 -0.060 -0.353 -0.384 -0.193 
-0.004 -0.626 -0.670 -0.191 -0.154 -0.244 -0.062 -0.039 -0.021  0.095  0.327 -0.492 
-0.367 -0.461 -0.283 -0.279 -0.075 -0.055 -0.128 -0.038 -0.067  0.216 -0.279  0.098 
-0.191 -0.273 -0.069  0.011 -0.073 -0.026  0.058 -0.019 -0.330 -0.275 -0.391 -0.480 
 0.049 -0.128 -0.406 -0.566 -0.414 -0.357 -0.360 -0.209 -0.309 -0.365 -0.541 -0.694 
-0.152  0.077 -0.377 -0.440 -0.446 -0.485 -0.458 -0.474 -0.515 -0.492 -0.536 -0.664 
-0.692 -0.519 -0.681 -0.650 -0.457 -0.474 -0.471 -0.377 -0.442 -0.235 -0.094 -0.249 
-0.501 -0.848 -0.593 -0.604 -0.307 -0.227 -0.109 -0.203 -0.119 -0.256 -0.048 -0.177 
-0.174 -0.478 -0.419 -0.055 -0.135 -0.034 -0.159 -0.106 -0.200 -0.217 -0.474 -0.095 
-0.580 -0.693 -0.520 -0.733 -0.753 -0.571 -0.381 -0.443 -0.321 -0.233 -0.620 -0.464 
-0.341 -0.411 -0.815 -0.546 -0.438 -0.255 -0.307 -0.353 -0.235 -0.425 -0.577 -0.489 
-0.592 -0.493 -0.711 -0.654 -0.472 -0.429 -0.434 -0.206 -0.119 -0.191 -0.063 -0.498 
-0.166 -0.443 -0.316 -0.363 -0.421 -0.398 -0.243 -0.348 -0.302 -0.333 -0.598 -0.633 
-0.548 -0.666 -0.733 -0.638 -0.406 -0.297 -0.293 -0.212 -0.163 -0.302 -0.294 -0.248 
-0.449 -0.284 -0.714 -0.424 -0.303 -0.176 -0.430 -0.610 -0.617 -0.753 -0.560 -0.470 
-0.399 -0.705 -0.664 -0.506 -0.564 -0.563 -0.484 -0.274 -0.338 -0.474 -0.074  0.046 
 0.168 -0.184 -0.413 -0.476 -0.189 -0.222 -0.163 -0.261 -0.266 -0.007 -0.411 -0.505 
-0.123  0.115 -0.652 -0.008 -0.162 -0.013 -0.017 -0.084 -0.059 -0.253 -0.060 -0.165 
-0.126 -0.224 -0.763 -0.333 -0.398 -0.422 -0.079 -0.218 -0.369 -0.289 -0.395 -0.859 
-0.487 -0.947 -1.067 -0.586 -0.772 -0.342 -0.190 -0.170 -0.085 -0.455 -0.183 -1.095 
-0.521 -0.448 -0.483 -0.643 -0.671 -0.431 -0.266 -0.360 -0.273  0.003 -0.352 -0.549 
-0.276 -0.312 -0.575 -0.243 -0.478 -0.263 -0.222 -0.170 -0.036 -0.262 -0.784 -0.719 
-0.236 -0.446 -0.117 -0.380 -0.142 -0.206 -0.190 -0.118 -0.131 -0.265 -0.569 -0.553 
 0.157 -0.271 -0.161 -0.094 -0.087 -0.003  0.083 -0.182 -0.206 -0.096 -0.568 -0.236 
-0.445 -0.457 -0.361 -0.355 -0.158 -0.140 -0.228 -0.202 -0.255 -0.231 -0.209 -0.340 
-0.085 -0.733 -0.556 -0.685 -0.294 -0.235 -0.260 -0.334 -0.141 -0.005  0.174  0.089 
-0.364 -0.332 -0.369 -0.409 -0.209 -0.148 -0.172 -0.161 -0.150 -0.149 -0.219 -0.609 
-0.358 -0.268 -0.253 -0.181 -0.189 -0.190 -0.177 -0.050  0.050 -0.214 -0.067  0.105 
 0.339  0.162 -0.014 -0.276 -0.169 -0.094 -0.065 -0.001 -0.004  0.043 -0.022 -0.234 
-0.257 -0.085 -0.446 -0.300 -0.193 -0.040  0.036 -0.009  0.067  0.163 -0.157 -0.603 
 0.071 -0.134 -0.538 -0.470 -0.114 -0.238 -0.048 -0.127 -0.045 -0.064 -0.042 -0.115 
-0.598 -1.131 -0.385 -0.439 -0.290 -0.244 -0.194 -0.081 -0.117  0.047 -0.035 -0.675 
-0.332 -0.170 -0.109 -0.184 -0.198 -0.088  0.092  0.159  0.020  0.006  0.209 -0.031 
 0.026 -0.431 -0.224 -0.190 -0.122  0.165  0.186  0.143  0.152  0.222  0.019 -0.003 
 0.394 -0.379 -0.504 -0.085 -0.146 -0.009 -0.005  0.098  0.163  0.119 -0.239 -0.168 
-0.398 -0.522 -0.520 -0.244 -0.204 -0.109  0.089  0.030 -0.054 -0.085 -0.231 -0.626 
-0.208  0.092 -0.473 -0.286  0.019  0.040  0.032 -0.026 -0.076  0.068  0.117 -0.047 
-0.443  0.467 -0.227 -0.338 -0.277 -0.088  0.024  0.039  0.003  0.153 -0.402 -0.269 
-0.309 -0.616 -0.314 -0.232 -0.015  0.061  0.234  0.142  0.143  0.062  0.058  0.149 
-0.181  0.078 -0.414 -0.126  0.061  0.171  0.246  0.291  0.376  0.361  0.095 -0.173 
 0.157  0.188  0.249  0.312  0.038  0.016  0.163  0.317  0.345  0.363  0.241 -0.318 
-0.059  0.030 -0.321 -0.061 -0.048  0.070  0.149  0.148  0.144 -0.100  0.095  0.545 
-0.662 -0.184 -0.268  0.061 -0.131 -0.011  0.119 -0.052  0.138  0.007 -0.024  0.078 
-0.058  0.142 -0.166  0.006 -0.053  0.043  0.079  0.069 -0.040  0.277 -0.070 -0.118 
 0.039 -0.210 -0.148 -0.005 -0.023  0.109  0.058  0.003  0.122  0.279  0.113 -0.023 
-0.362  0.171 -0.319  0.113  0.193 -0.028  0.110  0.154  0.100  0.305  0.129  0.346 
 0.553  0.367  0.177  0.051  0.245  0.150  0.161  0.183  0.388  0.378  0.081 -0.166 
-0.033 -0.138 -0.027  0.123 -0.063  0.041  0.076  0.230  0.154  0.229  0.105 -0.260 
 0.320  0.221 -0.140  0.241 -0.152 -0.070  0.010 -0.066  0.071  0.049 -0.007 -0.477 
-0.250 -0.223 -0.019  0.055 -0.094 -0.093 -0.025  0.029  0.058  0.379  0.120 -0.155 
 0.308 -0.130 -0.282  0.043  0.161  0.138 -0.034  0.062  0.070  0.143  0.068 -0.238 
 0.316 -0.133 -0.224  0.076  0.027 -0.076 -0.046  0.090 -0.010  0.136  0.040 -0.264 
-0.427 -0.284 -0.136 -0.192 -0.051 -0.062 -0.155 -0.131 -0.012 -0.030 -0.415 -0.130 
-0.353 -0.568 -0.321  0.023  0.097  0.014  0.118  0.230  0.266  0.244  0.052  0.361 
 0.187  0.079 -0.307  0.102  0.104  0.193  0.127  0.106  0.145  0.008 -0.304 -0.048 
 0.149  0.236  0.145  0.236  0.146  0.193  0.202  0.211  0.178  0.227 -0.043  0.132 
-0.315 -0.083 -0.281 -0.152 -0.161  0.026 -0.029  0.030  0.085  0.070  0.193 -0.229 
 0.290 -0.093 -0.528 -0.241 -0.022 -0.001  0.028  0.112  0.015  0.103 -0.189 -0.253 
-0.105 -0.432 -0.397 -0.278 -0.249 -0.185 -0.192 -0.164 -0.250 -0.166 -0.323 -0.295 
-0.209 -0.144 -0.257 -0.131 -0.078  0.085  0.104  0.170  0.167  0.036  0.110  0.342 
 0.499  0.258  0.093  0.055  0.101  0.067  0.066  0.136  0.068  0.097  0.118  0.135 
 0.221  0.069  0.114  0.109  0.000  0.128  0.079  0.090  0.136 -0.080 -0.233 -0.025 
 0.021  0.394 -0.510 -0.138 -0.040  0.166  0.119  0.142  0.133  0.045 -0.094  0.263 
 0.077  0.213  0.057  0.063  0.094  0.157  0.051  0.042 -0.051 -0.129 -0.054 -0.135 
 0.130  0.228  0.078  0.076  0.034 -0.093  0.102  0.055  0.033  0.146  0.033  0.115 
 0.053  0.426 -0.187 -0.013 -0.029  0.015  0.152  0.205  0.169  0.384  0.351  0.028 
 0.015 -0.231 -0.429 -0.301 -0.040 -0.058 -0.047 -0.200 -0.253 -0.286 -0.189 -0.373 
-0.127 -0.452 -0.195 -0.312 -0.137 -0.154 -0.153 -0.174 -0.127  0.023 -0.112 -0.033 
-0.101  0.020  0.014 -0.175 -0.051  0.074  0.113  0.136  0.132  0.043 -0.070 -0.277 
-0.157 -0.315 -0.015 -0.033  0.116 -0.005  0.066  0.108  0.011  0.262 -0.013 -0.014 
-0.316 -0.176  0.281 -0.070 -0.015  0.021  0.005 -0.008  0.021  0.024 -0.080 -0.211 
-0.492 -0.386 -0.111  0.072  0.040 -0.010  0.097  0.059  0.041 -0.002  0.146  0.236 
-0.037  0.189 -0.178  0.014 -0.028  0.032 -0.033 -0.006 -0.034 -0.157 -0.054 -0.324 
-0.051 -0.365 -0.399 -0.248 -0.206 -0.177 -0.167 -0.168 -0.160 -0.117  0.023 -0.184 
-0.686 -0.587 -0.261 -0.139 -0.172 -0.090 -0.062 -0.009 -0.187 -0.037 -0.158 -0.114 
 0.003  0.251  0.166  0.054  0.085  0.090  0.029 -0.025 -0.088 -0.039 -0.081 -0.018 
-0.475 -0.430 -0.229 -0.158 -0.195 -0.120 -0.112 -0.142 -0.151 -0.239 -0.209 -0.313 
 0.037 -0.052 -0.026 -0.060 -0.041 -0.110 -0.096 -0.121 -0.078 -0.185 -0.318 -0.293 
-0.075 -0.344 -0.560 -0.097 -0.269 -0.210 -0.217 -0.201 -0.146 -0.480 -0.333 -0.304 
-0.349  0.021  0.195  0.154  0.096  0.183  0.035 -0.013  0.117 -0.033  0.226 -0.071 
 0.083  0.048  0.010  0.016 -0.125 -0.167 -0.118 -0.150 -0.042 -0.053  0.069 -0.086 
-0.068 -0.272  0.001 -0.178 -0.039  0.121  0.055  0.049  0.169  0.190  0.130  0.438 
 0.075  0.144 -0.164  0.087  0.198  0.189  0.121  0.073  0.036  0.029  0.236  0.035 
 0.578  0.414  0.463  0.212  0.085  0.197  0.087  0.118  0.138  0.100  0.139  0.366 
-0.150 -0.018 -0.164  0.068  0.049 -0.007 -0.007 -0.074  0.051  0.015 -0.142  0.227 
 0.380  0.254  0.166  0.062  0.014  0.135  0.222  0.254  0.204  0.109  0.449  0.070 
 0.097 -0.094  0.070 -0.008  0.152  0.041  0.067  0.097 -0.044 -0.076 -0.228 -0.545 
-0.028 -0.410 -0.205 -0.099 -0.004 -0.040 -0.117 -0.025 -0.038 -0.032 -0.090  0.002 
 0.259  0.177  0.058  0.094  0.100  0.101  0.030  0.042  0.042  0.056 -0.098  0.020 
 0.153  0.476 -0.082  0.040  0.187  0.174  0.292  0.262  0.354  0.170  0.097  0.519 
 0.410  0.190  0.325  0.377  0.266  0.353  0.338  0.256  0.194  0.169  0.069  0.274 
 0.030  0.184  0.177  0.160  0.150  0.218  0.313  0.254  0.226  0.277  0.103  0.281 
 0.289  0.356  0.823  0.444  0.328  0.385  0.310  0.395  0.395  0.459  0.482  0.326 
 0.404  0.520  0.175  0.480  0.284  0.377  0.379  0.300  0.276  0.260  0.156  0.101 
 0.536  0.386  0.282  0.037  0.114  0.090  0.006  0.013 -0.080  0.000 -0.070  0.156 
 0.384  0.425  0.280  0.161  0.239  0.223  0.158  0.098  0.007  0.152 -0.145  0.270 
 0.251 -0.157  0.300  0.347  0.315  0.349  0.332  0.370  0.348  0.495  0.439  0.340 
 0.670  0.854  0.484  0.444  0.318  0.489  0.425  0.547  0.377  0.507  0.430  0.354 
 0.169  0.420  0.089  0.085  0.262  0.309  0.360  0.194  0.172  0.111  0.133  0.336 
 0.315  0.498  0.428  0.406  0.381  0.543  0.543  0.543  0.532  0.618  0.470  0.541 
 0.501  1.040  0.535  0.754  0.634  0.719  0.785  0.792  0.594  0.559  0.375  0.673 
 0.540  0.934  0.165  0.515  0.369  0.385  0.427  0.375  0.398  0.426  0.357  0.684 
 0.269  0.636  0.577  0.667  0.507  0.372  0.441  0.504  0.395  0.229  0.095  0.173 
 0.429  0.308  0.632  0.523  0.610  0.528  0.593  0.642  0.500  0.553  0.808  0.456 
 0.934  1.059  0.787  0.457  0.453  0.603  0.627  0.483  0.573  0.415  0.572  0.266 
 0.701  0.453  0.412  0.435  0.576  0.501  0.614  0.748  0.704  0.835  0.525  0.834 
 0.689  0.860  0.713  0.592  0.436  0.499  0.545  0.579  0.620  0.652  0.888  0.477 
 0.634  0.353  0.609  0.733  0.646  0.704  0.758  0.641  0.796  0.743  0.776  0.383 
